ticker,enabled,group,region,country,currency,listing_market,sector_bucket,selection_source
SNDK,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
MU,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
STX,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
INTC,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
AMD,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
DELL,true,core,USA,United States,USD,NYSE,Technology,original_universe_frozen
LRCX,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
ARM,true,core,EUROPE,United Kingdom,USD,NASDAQ_ADR,Technology,original_universe_frozen
AMAT,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
CAT,true,core,USA,United States,USD,NYSE,Industrials,original_universe_frozen
TSM,true,core,DEVELOPED_ASIA,Taiwan,USD,NYSE_ADR,Technology,original_universe_frozen
GOOG,true,core,USA,United States,USD,NASDAQ,Communication,original_universe_frozen
GEV,true,core,USA,United States,USD,NYSE,Industrials,original_universe_frozen
ANET,true,core,USA,United States,USD,NYSE,Technology,original_universe_frozen
CSCO,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
AVGO,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
BHP,true,core,DEVELOPED_ASIA,Australia,USD,NYSE_ADR,EnergyMaterials,original_universe_frozen
GS,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
C,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
NVDA,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
MS,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
TXN,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
QCOM,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
PANW,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
APP,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
AAPL,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
ORCL,true,core,USA,United States,USD,NYSE,Technology,original_universe_frozen
MRK,true,core,USA,United States,USD,NYSE,Healthcare,original_universe_frozen
LLY,true,core,USA,United States,USD,NYSE,Healthcare,original_universe_frozen
XOM,true,core,USA,United States,USD,NYSE,EnergyMaterials,original_universe_frozen
JNJ,true,core,USA,United States,USD,NYSE,Healthcare,original_universe_frozen
CVX,true,core,USA,United States,USD,NYSE,EnergyMaterials,original_universe_frozen
MUFG,true,core,DEVELOPED_ASIA,Japan,USD,NYSE_ADR,Financials,original_universe_frozen
GE,true,core,USA,United States,USD,NYSE,Industrials,original_universe_frozen
SHEL,true,core,EUROPE,United Kingdom,USD,NYSE_ADR,EnergyMaterials,original_universe_frozen
RTX,true,core,USA,United States,USD,NYSE,Industrials,original_universe_frozen
AMZN,true,core,USA,United States,USD,NASDAQ,Consumer,original_universe_frozen
UNH,true,core,USA,United States,USD,NYSE,Healthcare,original_universe_frozen
IBM,true,core,USA,United States,USD,NYSE,Technology,original_universe_frozen
PLTR,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
TSLA,true,core,USA,United States,USD,NASDAQ,Consumer,original_universe_frozen
BAC,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
WMT,true,core,USA,United States,USD,NYSE,Consumer,original_universe_frozen
ABBV,true,core,USA,United States,USD,NYSE,Healthcare,original_universe_frozen
JPM,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
BABA,true,core,CHINA_HK,China,USD,NYSE_ADR,Communication,original_universe_frozen
KO,true,core,USA,United States,USD,NYSE,Consumer,original_universe_frozen
AXP,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
LIN,true,core,EUROPE,Ireland,USD,NASDAQ,EnergyMaterials,original_universe_frozen
WFC,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
MSFT,true,core,USA,United States,USD,NASDAQ,Technology,original_universe_frozen
PM,true,core,USA,United States,USD,NYSE,Consumer,original_universe_frozen
BRK-B,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
META,true,core,USA,United States,USD,NASDAQ,Communication,original_universe_frozen
V,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
MA,true,core,USA,United States,USD,NYSE,Financials,original_universe_frozen
HD,true,core,USA,United States,USD,NYSE,Consumer,original_universe_frozen
PG,true,core,USA,United States,USD,NYSE,Consumer,original_universe_frozen
TMUS,true,core,USA,United States,USD,NASDAQ,Communication,original_universe_frozen
SAP,true,core,EUROPE,Germany,USD,NYSE_ADR,Technology,original_universe_frozen
WDC,true,expanded_global,USA,United States,USD,NASDAQ,Technology,global_large_cap_policy_2026-08-07
VRT,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
CRWD,true,expanded_global,USA,United States,USD,NASDAQ,Technology,global_large_cap_policy_2026-08-07
HOOD,true,expanded_global,USA,United States,USD,NASDAQ,Financials,global_large_cap_policy_2026-08-07
HWM,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
COHR,true,expanded_global,USA,United States,USD,NYSE,Technology,global_large_cap_policy_2026-08-07
IBKR,true,expanded_global,USA,United States,USD,NASDAQ,Financials,global_large_cap_policy_2026-08-07
APH,true,expanded_global,USA,United States,USD,NYSE,Technology,global_large_cap_policy_2026-08-07
KLAC,true,expanded_global,USA,United States,USD,NASDAQ,Technology,global_large_cap_policy_2026-08-07
MRVL,true,expanded_global,USA,United States,USD,NASDAQ,Technology,global_large_cap_policy_2026-08-07
CEG,true,expanded_global,USA,United States,USD,NASDAQ,Utilities,global_large_cap_policy_2026-08-07
AXON,true,expanded_global,USA,United States,USD,NASDAQ,Industrials,global_large_cap_policy_2026-08-07
PWR,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
CMI,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
PH,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
URI,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
VST,true,expanded_global,USA,United States,USD,NYSE,Utilities,global_large_cap_policy_2026-08-07
EOG,true,expanded_global,USA,United States,USD,NYSE,EnergyMaterials,global_large_cap_policy_2026-08-07
NOW,true,expanded_global,USA,United States,USD,NYSE,Technology,global_large_cap_policy_2026-08-07
SLB,true,expanded_global,USA,United States,USD,NYSE,EnergyMaterials,global_large_cap_policy_2026-08-07
NFLX,true,expanded_global,USA,United States,USD,NASDAQ,Communication,global_large_cap_policy_2026-08-07
UBER,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
FCX,true,expanded_global,USA,United States,USD,NYSE,EnergyMaterials,global_large_cap_policy_2026-08-07
ISRG,true,expanded_global,USA,United States,USD,NASDAQ,Healthcare,global_large_cap_policy_2026-08-07
BSX,true,expanded_global,USA,United States,USD,NYSE,Healthcare,global_large_cap_policy_2026-08-07
TMO,true,expanded_global,USA,United States,USD,NYSE,Healthcare,global_large_cap_policy_2026-08-07
ETN,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
TT,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
CARR,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
LMT,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
NOC,true,expanded_global,USA,United States,USD,NYSE,Industrials,global_large_cap_policy_2026-08-07
NUE,true,expanded_global,USA,United States,USD,NYSE,EnergyMaterials,global_large_cap_policy_2026-08-07
MCK,true,expanded_global,USA,United States,USD,NYSE,Healthcare,global_large_cap_policy_2026-08-07
REGN,true,expanded_global,USA,United States,USD,NASDAQ,Healthcare,global_large_cap_policy_2026-08-07
VRTX,true,expanded_global,USA,United States,USD,NASDAQ,Healthcare,global_large_cap_policy_2026-08-07
GILD,true,expanded_global,USA,United States,USD,NASDAQ,Healthcare,global_large_cap_policy_2026-08-07
COP,true,expanded_global,USA,United States,USD,NYSE,EnergyMaterials,global_large_cap_policy_2026-08-07
MPC,true,expanded_global,USA,United States,USD,NYSE,EnergyMaterials,global_large_cap_policy_2026-08-07
SHOP.TO,true,expanded_global,CANADA,Canada,CAD,TSX,Technology,global_large_cap_policy_2026-08-07
CSU.TO,true,expanded_global,CANADA,Canada,CAD,TSX,Technology,global_large_cap_policy_2026-08-07
CNR.TO,true,expanded_global,CANADA,Canada,CAD,TSX,Industrials,global_large_cap_policy_2026-08-07
CP.TO,true,expanded_global,CANADA,Canada,CAD,TSX,Industrials,global_large_cap_policy_2026-08-07
CCO.TO,true,expanded_global,CANADA,Canada,CAD,TSX,EnergyMaterials,global_large_cap_policy_2026-08-07
BN.TO,true,expanded_global,CANADA,Canada,CAD,TSX,Financials,global_large_cap_policy_2026-08-07
CNQ.TO,true,expanded_global,CANADA,Canada,CAD,TSX,EnergyMaterials,global_large_cap_policy_2026-08-07
WCN.TO,true,expanded_global,CANADA,Canada,CAD,TSX,Industrials,global_large_cap_policy_2026-08-07
WSP.TO,true,expanded_global,CANADA,Canada,CAD,TSX,Industrials,global_large_cap_policy_2026-08-07
CLS.TO,true,expanded_global,CANADA,Canada,CAD,TSX,Technology,global_large_cap_policy_2026-08-07
ASML.AS,true,expanded_global,EUROPE,Netherlands,EUR,EURONEXT_AMSTERDAM,Technology,global_large_cap_policy_2026-08-07
ASM.AS,true,expanded_global,EUROPE,Netherlands,EUR,EURONEXT_AMSTERDAM,Technology,global_large_cap_policy_2026-08-07
AZN.L,true,expanded_global,EUROPE,United Kingdom,GBP,LSE,Healthcare,global_large_cap_policy_2026-08-07
SIE.DE,true,expanded_global,EUROPE,Germany,EUR,XETRA,Industrials,global_large_cap_policy_2026-08-07
RHM.DE,true,expanded_global,EUROPE,Germany,EUR,XETRA,Industrials,global_large_cap_policy_2026-08-07
IFX.DE,true,expanded_global,EUROPE,Germany,EUR,XETRA,Technology,global_large_cap_policy_2026-08-07
SU.PA,true,expanded_global,EUROPE,France,EUR,EURONEXT_PARIS,Industrials,global_large_cap_policy_2026-08-07
AIR.PA,true,expanded_global,EUROPE,France,EUR,EURONEXT_PARIS,Industrials,global_large_cap_policy_2026-08-07
SAF.PA,true,expanded_global,EUROPE,France,EUR,EURONEXT_PARIS,Industrials,global_large_cap_policy_2026-08-07
MC.PA,true,expanded_global,EUROPE,France,EUR,EURONEXT_PARIS,Consumer,global_large_cap_policy_2026-08-07
RACE.MI,true,expanded_global,EUROPE,Italy,EUR,BORSA_ITALIANA,Consumer,global_large_cap_policy_2026-08-07
LDO.MI,true,expanded_global,EUROPE,Italy,EUR,BORSA_ITALIANA,Industrials,global_large_cap_policy_2026-08-07
NOVO-B.CO,true,expanded_global,EUROPE,Denmark,DKK,NASDAQ_COPENHAGEN,Healthcare,global_large_cap_policy_2026-08-07
DSV.CO,true,expanded_global,EUROPE,Denmark,DKK,NASDAQ_COPENHAGEN,Industrials,global_large_cap_policy_2026-08-07
SAAB-B.ST,true,expanded_global,EUROPE,Sweden,SEK,NASDAQ_STOCKHOLM,Industrials,global_large_cap_policy_2026-08-07
