Tickler,Company,MarketCap_EUR,Price_EUR,Revenue_EUR,ISIN,Official_Xetra_Name,Primary_Market_MIC
NVDA,NVIDIA Corporation,4692130937423,194.22,216532012200,US67066G1040,"NVIDIA CORP.      DL-,001",XNAS
AAPL,Apple Inc.,3955467172781,270.5,409310406400,US0378331005,APPLE INC.,XNAS
1GOOGL.MI,Alphabet Inc.,3744153875350,308.64999,390266509800,US02079K3059,"ALPHABET INC.CL.A DL-,001",XNAS
MSFT,Microsoft Corporation,3211484193889,434.35001,290458676700,US5949181045,"MICROSOFT    DL-,00000625",XNAS
AMZN,"Amazon.com, Inc.",2560942657095,240.55,678952704000,US0231351067,"AMAZON.COM INC.    DL-,01",XNAS
AVGO,Broadcom Inc.,1760363667254,368.60001,64145250000,US11135F1012,"BROADCOM INC.     DL-,001",XNAS
SPCX,Space Exploration Technologies Corp.,1517752120134,111.82,20170413200,US84615Q1031,SPACE EXPL.TECHS. CL.A,XNAS
META,"Meta Platforms, Inc.",1304747346987,514.6,199784599100,US30303M1027,"META PLATF.  A DL-,000006",XNAS
TSLA,"Tesla, Inc.",1122547074554,287.5,90697710700,US88160R1014,"TESLA INC. DL -,001",XNAS
BRK-B,Berkshire Hathaway Inc.,972367781102,449.04999,325579216200,US0846707026,"BERKSH. H.B NEW DL-,00333",XNYS
LLY,Eli Lilly and Company,914210702493,1017.79999,69731649800,US5324571083,ELI LILLY,XNYS
MU,"Micron Technology, Inc.",857320138607,757.59998,77464119400,US5951121038,"MICRON TECHN. INC. DL-,10",XNAS
JPM,JPMorgan Chase & Co.,822056840097,308.29999,163092898400,US46625H1005,JPMORGAN CHASE       DL 1,XNYS
WMT,Walmart Inc.,769946147766,96.65,618249982000,US9311421039,"WALMART DL-,10",XNAS
AMD,"Advanced Micro Devices, Inc.",682548262900,417.89999,36216224000,US0079031078,"ADVANCED MIC.DEV.  DL-,01",XNAS
ASML.AS,ASML Holding N.V.,575693352897,1498.80005,35327500000,NL0010273215,"ASML HOLDING    EO -,09",XAMS
V,Visa Inc.,575577203239,315.14999,38940346400,US92826C8394,"VISA INC. CL. A DL -,0001",XNYS
XOM,ExxonMobil Holdings Corporation,544333260500,132.08,316035818000,US30233Q1085,EXX.HO.COR. O.N.,XNYS
JNJ,Johnson & Johnson,540401927127,221.89999,85864147200,US4781601046,JOHNSON + JOHNSON    DL 1,XNYS
INTC,Intel Corporation,443505049000,87.43,50005657600,US4581401001,"INTEL CORP.       DL-,001",XNAS
MA,Mastercard Incorporated,426574573300,487.6,30708149900,US57636Q1040,"MASTERCARD INC.A DL-,0001",XNYS
CSCO,"Cisco Systems, Inc.",413996275836,104.62,51889233200,US17275R1023,"CISCO SYSTEMS    DL-,001",XNAS
BAC,Bank of America Corporation,382098105798,54.36,99723804300,US0605051046,"BANK AMERICA      DL 0,01",XNYS
ABBV,AbbVie Inc.,376086029333,211.5,56357065800,US00287Y1091,"ABBVIE INC.        DL-,01",XNYS
AMAT,"Applied Materials, Inc.",370267823333,466.6,24792300800,US0382221051,APPLIED MATERIALS INC.,XNAS
ORCL,Oracle Corporation,366316122153,126.22,57671063400,US68389X1054,"ORACLE CORP.       DL-,01",XNYS
COST,Costco Wholesale Corporation,363592439206,818.2,249431515200,US22160K1051,"COSTCO WHOLESALE  DL-,005",XNAS
PLTR,Palantir Technologies Inc.,357547827110,137.48,5388295157,US69608A1088,PALANTIR TECHNOLOGIES INC,XNAS
LRCX,Lam Research Corporation,336991375585,268.60001,20370422592,US5128073062,LAM RESEARCH CORP. NEW,XNAS
CAT,Caterpillar Inc.,334870559473,731.5,65410293700,US1491231015,CATERPILLAR INC.     DL 1,XNYS
POR,General Electric Company,332143681612,321.7,44324316700,US3696043013,"GE AEROSPACE      DL -,06",XNYS
KO,The Coca-Cola Company,323974428537,75.19,43822771800,US1912161007,"COCA-COLA CO.      DL-,25",XNYS
UNH,UnitedHealth Group Incorporated,319779621743,353.79999,393997913700,US91324P1021,"UNITEDHEALTH GROUP DL-,01",XNYS
CVX,Chevron Corporation,316552551379,161.9,183273815200,US1667641005,"CHEVRON CORP.      DL-,75",XNYS
RO.SW,Roche Holding AG,313987977687,399.2,68202986002,CH0012032113,ROCHE HLDG AG INH. SF 1,XSWX
HD,"The Home Depot, Inc.",306724358802,305,141603200000,US4370761029,"HOME DEPOT INC.    DL-,05",XNYS
HSBA.L,HSBC Holdings plc,306378137430,17.924,59023229600,GB0005405286,"HSBC HLDGS PLC     DL-,50",XLON
MS,Morgan Stanley,293892924145,185.95,68122848400,US6174464486,"MORGAN STANLEY     DL-,01",XNYS
PG,The Procter & Gamble Company,293130417882,125.56,76179109600,US7427181091,PROCTER GAMBLE,XNYS
MRK,"Merck & Co., Inc.",274698070138,110.8,58267845700,US58933Y1055,"MERCK CO.          DL-,01",XNYS
